bfield	diode	hall	time 		
324.1076568E-3	-4.1021927E+0	2.9991473E+0	16.1000004E+0
324.1347696E-3	-4.1103251E+0	2.9993977E+0	16.2000008E+0
324.1382059E-3	-4.1071332E+0	2.9994294E+0	16.3000011E+0
324.1350160E-3	-4.0897285E+0	2.9994000E+0	16.3999996E+0
324.1081763E-3	-4.0919036E+0	2.9991521E+0	16.5000000E+0
324.1191431E-3	-4.1054696E+0	2.9992534E+0	16.6000004E+0
324.1109819E-3	-4.1123050E+0	2.9991780E+0	16.7000008E+0
324.1307222E-3	-4.1238411E+0	2.9993603E+0	16.8000011E+0
324.1592300E-3	-4.1271559E+0	2.9996235E+0	16.8999996E+0
324.1604423E-3	-4.1149080E+0	2.9996347E+0	17.0000000E+0
324.1433572E-3	-4.1031304E+0	2.9994770E+0	17.1000004E+0
324.1440247E-3	-4.1094027E+0	2.9994831E+0	17.2000008E+0
324.1585027E-3	-4.1218941E+0	2.9996168E+0	17.3000011E+0
324.1559217E-3	-4.1256795E+0	2.9995930E+0	17.3999996E+0
324.1364394E-3	-4.1224956E+0	2.9994131E+0	17.5000000E+0
324.1333266E-3	-4.1171934E+0	2.9993844E+0	17.6000004E+0
324.1436784E-3	-4.1101632E+0	2.9994799E+0	17.7000008E+0
324.1648964E-3	-4.1080993E+0	2.9996759E+0	17.8000011E+0
324.1436387E-3	-4.1087792E+0	2.9994796E+0	17.8999996E+0
324.1162704E-3	-4.1106939E+0	2.9992269E+0	18.0000000E+0
324.1412368E-3	-4.1073996E+0	2.9994574E+0	18.1000004E+0
324.1339110E-3	-4.1107740E+0	2.9993898E+0	18.2000008E+0
324.1574289E-3	-4.0996115E+0	2.9996069E+0	18.3000011E+0
324.1434979E-3	-4.1022819E+0	2.9994783E+0	18.3999996E+0
324.1490470E-3	-4.0972439E+0	2.9995295E+0	18.5000000E+0
324.1465599E-3	-4.0957880E+0	2.9995066E+0	18.6000004E+0
324.1476269E-3	-4.0983815E+0	2.9995164E+0	18.7000008E+0
324.1552882E-3	-4.1022403E+0	2.9995871E+0	18.8000011E+0
324.1308982E-3	-4.0867858E+0	2.9993619E+0	18.8999996E+0
324.1040200E-3	-4.0823024E+0	2.9991138E+0	19.0000000E+0
324.1321792E-3	-4.0688262E+0	2.9993738E+0	19.1000004E+0
324.1386763E-3	-4.0529166E+0	2.9994338E+0	19.2000008E+0
324.1603384E-3	-4.0669396E+0	2.9996338E+0	19.3000011E+0
324.1631014E-3	-4.0739925E+0	2.9996593E+0	19.3999996E+0
324.1538100E-3	-4.0840083E+0	2.9995735E+0	19.5000000E+0
324.1447867E-3	-4.0740316E+0	2.9994902E+0	19.6000004E+0
324.1409639E-3	-4.0660969E+0	2.9994549E+0	19.7000008E+0
324.1458951E-3	-4.0522073E+0	2.9995004E+0	19.8000011E+0
324.1386763E-3	-4.0382563E+0	2.9994338E+0	19.8999996E+0
324.1513676E-3	-4.0402074E+0	2.9995509E+0	20.0000000E+0
324.1482844E-3	-4.0432857E+0	2.9995225E+0	20.1000004E+0
324.1410807E-3	-4.0529195E+0	2.9994560E+0	20.2000008E+0
324.1358255E-3	-4.0651184E+0	2.9994074E+0	20.3000011E+0
324.1578446E-3	-4.0635947E+0	2.9996108E+0	20.3999996E+0
324.1265692E-3	-4.0506870E+0	2.9993220E+0	20.5000000E+0
324.1468995E-3	-4.0470560E+0	2.9995097E+0	20.6000004E+0
324.1312502E-3	-4.0493107E+0	2.9993652E+0	20.7000008E+0
324.1484235E-3	-4.0353277E+0	2.9995238E+0	20.8000011E+0
324.1494811E-3	-4.0351031E+0	2.9995335E+0	20.8999996E+0
324.1511252E-3	-4.0484843E+0	2.9995487E+0	21.0000000E+0
324.1727727E-3	-4.0354460E+0	2.9997486E+0	21.1000004E+0
324.1838664E-3	-4.0437127E+0	2.9998510E+0	21.2000008E+0
324.1863155E-3	-4.0405397E+0	2.9998736E+0	21.3000011E+0
324.1846758E-3	-4.0311823E+0	2.9998585E+0	21.3999996E+0
324.1605674E-3	-4.0337018E+0	2.9996359E+0	21.5000000E+0
324.1532033E-3	-4.0392739E+0	2.9995679E+0	21.6000004E+0
324.1640098E-3	-4.0318097E+0	2.9996677E+0	21.7000008E+0
324.1752436E-3	-4.0355356E+0	2.9997714E+0	21.8000011E+0
324.1429510E-3	-4.0398361E+0	2.9994732E+0	21.8999996E+0
324.1607082E-3	-4.0482418E+0	2.9996372E+0	22.0000000E+0
324.1725688E-3	-4.0597957E+0	2.9997467E+0	22.1000004E+0
324.1542078E-3	-4.0536545E+0	2.9995772E+0	22.2000008E+0
324.1439208E-3	-4.0475773E+0	2.9994822E+0	22.3000011E+0
324.1565200E-3	-4.0562713E+0	2.9995985E+0	22.3999996E+0
324.1469118E-3	-4.0483241E+0	2.9995098E+0	22.5000000E+0
324.1899523E-3	-4.0516860E+0	2.9999072E+0	22.6000004E+0
324.1463107E-3	-4.0605945E+0	2.9995043E+0	22.7000008E+0
324.1489179E-3	-4.0653082E+0	2.9995283E+0	22.8000011E+0
324.1648411E-3	-4.0757813E+0	2.9996754E+0	22.8999996E+0
324.1631718E-3	-4.0817757E+0	2.9996599E+0	23.0000000E+0
324.1592300E-3	-4.0867136E+0	2.9996235E+0	23.1000004E+0
324.1623272E-3	-4.0852646E+0	2.9996521E+0	23.2000008E+0
324.1717242E-3	-4.0968451E+0	2.9997389E+0	23.3000011E+0
324.1679237E-3	-4.1008313E+0	2.9997038E+0	23.3999996E+0
324.1440963E-3	-4.0849442E+0	2.9994838E+0	23.5000000E+0
324.1537921E-3	-4.0774658E+0	2.9995733E+0	23.6000004E+0
324.1627143E-3	-4.0845416E+0	2.9996557E+0	23.7000008E+0
324.1460336E-3	-4.0817005E+0	2.9995017E+0	23.8000011E+0
324.1589876E-3	-4.0797918E+0	2.9996213E+0	23.8999996E+0
324.1801357E-3	-4.0872483E+0	2.9998166E+0	24.0000000E+0
324.1488045E-3	-4.0676832E+0	2.9995273E+0	24.1000004E+0
324.1570479E-3	-4.0577220E+0	2.9996034E+0	24.2000008E+0
324.1887054E-3	-4.0641799E+0	2.9998957E+0	24.3000011E+0
324.1872507E-3	-4.0664746E+0	2.9998823E+0	24.3999996E+0
324.1867523E-3	-4.0695771E+0	2.9998777E+0	24.5000000E+0
324.1695773E-3	-4.0442648E+0	2.9997191E+0	24.6000004E+0
324.1770676E-3	-4.0409114E+0	2.9997883E+0	24.7000008E+0
324.1672544E-3	-4.0421937E+0	2.9996976E+0	24.8000011E+0
324.1448705E-3	-4.0323012E+0	2.9994910E+0	24.8999996E+0
324.1816050E-3	-4.0377289E+0	2.9998301E+0	25.0000000E+0
324.1692052E-3	-4.0579870E+0	2.9997157E+0	25.1000004E+0
324.1685214E-3	-4.0610264E+0	2.9997093E+0	25.2000008E+0
324.1656355E-3	-4.0684839E+0	2.9996827E+0	25.3000011E+0
324.1921690E-3	-4.0796520E+0	2.9999277E+0	25.3999996E+0
324.1827133E-3	-4.0924066E+0	2.9998404E+0	25.5000000E+0
324.1955158E-3	-4.0806376E+0	2.9999586E+0	25.6000004E+0
324.2073396E-3	-4.0842318E+0	3.0000678E+0	25.7000008E+0
324.1702108E-3	-4.0740361E+0	2.9997249E+0	25.8000011E+0
324.1781648E-3	-4.0571286E+0	2.9997984E+0	25.8999996E+0
324.1681970E-3	-4.0660849E+0	2.9997063E+0	26.0000000E+0
324.1770738E-3	-4.0797189E+0	2.9997883E+0	26.1000004E+0
324.1544435E-3	-4.0876980E+0	2.9995793E+0	26.2000008E+0
324.1627143E-3	-4.0816018E+0	2.9996557E+0	26.3000011E+0
324.1622986E-3	-4.0824046E+0	2.9996519E+0	26.3999996E+0
324.1643454E-3	-4.0965201E+0	2.9996708E+0	26.5000000E+0
324.1707292E-3	-4.1096726E+0	2.9997297E+0	26.6000004E+0
324.1727381E-3	-4.1193314E+0	2.9997483E+0	26.7000008E+0
324.1911299E-3	-4.1030655E+0	2.9999181E+0	26.8000011E+0
324.2009041E-3	-4.0939904E+0	3.0000083E+0	26.8999996E+0
324.1854149E-3	-4.0930428E+0	2.9998653E+0	27.0000000E+0
324.1868579E-3	-4.0987105E+0	2.9998787E+0	27.1000004E+0
324.1773101E-3	-4.0897477E+0	2.9997905E+0	27.2000008E+0
324.1764788E-3	-4.0822902E+0	2.9997828E+0	27.3000011E+0
324.1408935E-3	-4.0744566E+0	2.9994542E+0	27.3999996E+0
324.1596875E-3	-4.0724983E+0	2.9996278E+0	27.5000000E+0
324.1758900E-3	-4.0773471E+0	2.9997774E+0	27.6000004E+0
324.1546195E-3	-4.0881459E+0	2.9995810E+0	27.7000008E+0
324.1636634E-3	-4.0792740E+0	2.9996645E+0	27.8000011E+0
324.1556049E-3	-4.0700327E+0	2.9995901E+0	27.8999996E+0
324.1613082E-3	-4.0831252E+0	2.9996427E+0	28.0000000E+0
324.1567664E-3	-4.0989318E+0	2.9996008E+0	28.1000004E+0
324.1756475E-3	-4.1107350E+0	2.9997751E+0	28.2000008E+0
324.1790419E-3	-4.1056096E+0	2.9998065E+0	28.3000011E+0
324.1853797E-3	-4.1175743E+0	2.9998650E+0	28.3999996E+0
324.1889344E-3	-4.1240143E+0	2.9998978E+0	28.5000000E+0
324.1642869E-3	-4.1020037E+0	2.9996702E+0	28.6000004E+0
324.1625551E-3	-4.0980482E+0	2.9996542E+0	28.7000008E+0
324.1526486E-3	-4.0922396E+0	2.9995628E+0	28.8000011E+0
324.1698979E-3	-4.0846469E+0	2.9997220E+0	28.8999996E+0
324.1766162E-3	-4.0800306E+0	2.9997841E+0	29.0000000E+0
324.1725303E-3	-4.0773263E+0	2.9997464E+0	29.1000004E+0
324.1732230E-3	-4.0760483E+0	2.9997528E+0	29.2000008E+0
324.1929628E-3	-4.0813682E+0	2.9999350E+0	29.3000011E+0
324.1587451E-3	-4.0793153E+0	2.9996191E+0	29.3999996E+0
324.1564848E-3	-4.0870715E+0	2.9995982E+0	29.5000000E+0
324.1585027E-3	-4.0880348E+0	2.9996168E+0	29.6000004E+0
