angle,B,strength,E_i,v_i,E_f,v_f,id
0.1305066017257021,0.31575787893946977,0.8137178031023033,-1.2256842678187234,[ 0.04910833 -0.98997069 -0.13079063 -0.02098118],-10.55388458277294,[ 0.00400915 -0.11836349  0.94588081 -0.3021316 ],2->0
0.1305066017257021,0.717958979489745,0.7550269984217731,-15.435581039981823,[ 0.00568889 -0.12818324  0.96004675  0.24869043],-24.75901463479503,[-8.41031991e-04  2.24123040e-02 -2.47890116e-01  9.68528509e-01],1->0
0.1320789704211925,0.112056028014007,2.0307554500341623e-05,10.382837895843464,[9.99696813e-01 2.46160299e-02 5.76648693e-04 2.20942960e-05],1.06140233784658,[-1.30744972e-04  3.40351106e-03  4.30951473e-02  9.99065167e-01],3->2
0.1320789704211925,0.03721860930465233,0.015234767995090714,4.1622353741439655,[-6.43326604e-06  1.67672619e-04  1.14391343e-02  9.99934557e-01],-5.176850028771952,[ 0.00947384 -0.99154107 -0.12943662  0.00164707],2->1
0.1320789704211925,0.3869934967483742,0.43950706392861155,-0.2200325897651421,[ 0.05547911 -0.98958951 -0.1318278  -0.01600307],-9.534046638286533,[ 0.00350792 -0.08901668  0.57059195  0.8163875 ],2->1
0.1320789704211925,0.07683841920960481,0.7298318262270886,2.518290978702151,[-4.00542139e-05  1.04334773e-03  2.64158900e-02  9.99650494e-01],-6.819458570175828,[ 0.00201661 -0.1292921   0.99126203 -0.0260592 ],2->0
0.1320789704211925,0.31535767883941973,0.8113324661331762,-1.229719658169447,[ 0.04965899 -0.9897202  -0.13237736 -0.02154411],-10.555299934660557,[ 0.00409831 -0.11964204  0.94538384 -0.30318043],2->0
0.1320789704211925,0.7175587793896949,0.7551518050181061,-15.422275681539045,[ 0.00582481 -0.12967267  0.95909895  0.25155571],-24.749934011535412,[-8.71210764e-04  2.29423655e-02 -2.50726911e-01  9.67785568e-01],1->0
0.1336513391166829,0.7167583791895948,0.7552823237032883,-15.403061294390437,[ 0.00596143 -0.1311571   0.95809848  0.25457724],-24.724358583601393,[-9.02827751e-04  2.34977278e-02 -2.53718139e-01  9.66992320e-01],1->0
0.1336513391166829,0.38739369684842423,0.4434405324241552,-0.21260964652621242,[ 0.0561644  -0.98933571 -0.13338857 -0.01636783],-9.531339838420378,[ 0.00361037 -0.09048178  0.57263716  0.81479242],2->1
0.1336513391166829,0.3149574787393697,0.8089510808225427,-1.2337360109388813,[ 0.05020854 -0.98946624 -0.13396465 -0.02211622],-10.556720163409835,[ 0.00418827 -0.12091791  0.94489303 -0.30420138],2->0
